dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,regular_core_home_away_diff,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",49,0.7354,0.6655,0.7337,0.5991,0.2064,0.6827,0.7423,0.5962,0.2045
regular_season_only,regular_core_diff_only,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",15,0.6988,0.6679,0.735,0.5991,0.2065,0.6827,0.7476,0.5918,0.2031
regular_season_only,minimal_strong_diff,LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'class_weight': 'None'}",9,0.6988,0.6684,0.735,0.5991,0.2065,0.6825,0.7476,0.5918,0.2031
regular_season_only,regular_core_home_away_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",49,0.7265,0.6723,0.7341,0.5993,0.2064,0.6819,0.7429,0.5938,0.2037
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6993,0.6687,0.7364,0.5993,0.2066,0.6819,0.7469,0.5933,0.2036
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6993,0.669,0.7364,0.5994,0.2066,0.6838,0.7468,0.5937,0.2037
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",66,0.6993,0.6684,0.7364,0.5994,0.2066,0.6815,0.747,0.593,0.2036
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.6969,0.6705,0.7341,0.5994,0.2065,0.6842,0.7448,0.5935,0.2037
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.6969,0.6711,0.7336,0.5995,0.2066,0.6829,0.7448,0.5932,0.2037
regular_season_only,minimal_strong_diff,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",9,0.7173,0.6687,0.7357,0.5995,0.2066,0.6796,0.743,0.5969,0.2049
