dataset_filter,feature_set,model_type,hyperparameters,feature_count,train_accuracy,validation_accuracy,validation_roc_auc,validation_log_loss,validation_brier_score,test_accuracy,test_roc_auc,test_log_loss,test_brier_score
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",49,0.667,0.6355,0.6786,0.6387,0.2235,0.6454,0.6973,0.632,0.2204
all_games,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'class_weight': 'balanced'}",51,0.6426,0.634,0.6835,0.6387,0.2238,0.6424,0.6917,0.6316,0.2208
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'None'}",70,0.667,0.6355,0.6786,0.6387,0.2235,0.6454,0.6973,0.632,0.2204
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6423,0.6351,0.6836,0.6387,0.2238,0.6428,0.6923,0.6312,0.2206
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6423,0.634,0.6835,0.6388,0.2239,0.642,0.6918,0.6317,0.2208
all_games,percentile_core,LogisticRegression,"{'penalty': 'l2', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}",51,0.6428,0.6332,0.6834,0.6388,0.2239,0.6422,0.6915,0.6317,0.2208
all_games,percentile_core,LogisticRegression,"{'penalty': 'l1', 'C': 0.1, 'solver': 'liblinear', 'class_weight': 'balanced'}",51,0.6424,0.636,0.6836,0.6388,0.2239,0.6428,0.6919,0.6315,0.2207
all_games,regular_plus_playoff_context,HistGradientBoosting,"{'max_iter': 300, 'learning_rate': 0.05}",70,0.7086,0.634,0.6754,0.6389,0.2239,0.629,0.6678,0.642,0.2256
regular_season_only,era_adjusted_diff_only,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",17,0.6577,0.6394,0.6795,0.6389,0.2237,0.6405,0.6915,0.6431,0.2236
regular_season_only,regular_core_home_away_diff,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",49,0.6668,0.6358,0.6786,0.6389,0.2236,0.6461,0.6973,0.6322,0.2205
regular_season_only,era_adjusted_core,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'None'}",66,0.6664,0.6358,0.6806,0.6389,0.2237,0.644,0.6958,0.636,0.2217
regular_season_only,regular_plus_playoff_context,LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear', 'class_weight': 'None'}",70,0.6667,0.6358,0.6786,0.6389,0.2236,0.6459,0.6973,0.6322,0.2205
all_games,era_adjusted_diff_only,RandomForest,"{'n_estimators': 300, 'max_depth': 8}",17,0.7032,0.6423,0.6803,0.6389,0.2238,0.642,0.6917,0.6334,0.2214
